石景山|八角|八角北路孔雀门 南北通透 明厨明卫 采光好两居近地铁|八角北路| | 2室1厅 | 70平米 | 南 北 | 简装|高楼层(共6层)  1989年建板楼  -  |八角|240万|单价34286元/平米
石景山|八角|西引力朝南一居室，位置安静楼层好，配套齐全采光足|西引力| | 1室1厅 | 50.14平米 | 南 | 简装|低楼层(共16层)  2005年建板塔结合  -  |八角|198万|单价39490元/平米
石景山|八角|西引力带电梯 满五年南向一居室 精装修|西引力| | 1室1厅 | 50.44平米 | 南 | 简装|高楼层(共16层)  2005年建板塔结合  -  |八角|210万|单价41634元/平米
石景山|八角|八角南里 精装婚房 正规两室一厅 楼龄新 |八角南里| | 2室1厅 | 56.77平米 | 东 西 | 精装|高楼层(共6层)  1995年建板楼  -  |八角|200万|单价35230元/平米
石景山|八角|  融景城，南北厨卫带窗，附赠5平米露台，房本满两年|融景城| | 2室1厅 | 90.24平米 | 南 北 | 其他|高楼层(共25层)  2011年建板塔结合  -  |八角|480万|单价53192元/平米
石景山|八角|西引力 东南向两居室 无遮挡 方正户型 诚心出售|西引力| | 2室1厅 | 87.26平米 | 东 南 | 精装|中楼层(共18层)  2005年建板塔结合  -  |八角|370万|单价42403元/平米
石景山|八角|八角北路 黄金楼层 南北通透 近地铁！|八角北路| | 3室0厅 | 57.18平米 | 南 北 | 简装|中楼层(共6层)  1986年建板楼  -  |八角|180万|单价31480元/平米
石景山|八角|八角南里 一室一厅满二年 中间层交通便利|八角南里| | 1室1厅 | 46.4平米 | 东 西 | 简装|中楼层(共5层)  1993年建板楼  -  |八角|165万|单价35561元/平米
石景山|八角|八角中里 南向两居 全明格局 交通便利|八角中里| | 2室1厅 | 58.45平米 | 南 | 简装|高楼层(共6层)  1986年建板楼  -  |八角|205万|单价35073元/平米
石景山|八角|融景城 大三居室 中间楼层 视野开阔|融景城| | 3室2厅 | 135平米 | 南 北 | 简装|低楼层(共26层)  2010年建板塔结合  -  |八角|650万|单价48149元/平米
石景山|八角|八角南里 南北通透两居室带客厅 1993年房 中间层|八角南里| | 2室1厅 | 59.06平米 | 南 北 | 其他|中楼层(共6层)  1993年建板楼  -  |八角|225万|单价38097元/平米
石景山|八角|八角小户型总价低一层带自建满两年没有营业税|八角路小区| | 1室1厅 | 24平米 | 南 | 精装|低楼层(共5层)  1971年建板楼  -  |八角|140万|单价58334元/平米
石景山|八角|西引力南北通透大两居 满五年唯一 中间楼层！|西引力| | 2室1厅 | 101.12平米 | 南 北 | 精装|高楼层(共16层)  2005年建板塔结合  -  |八角|450万|单价44502元/平米
石景山|八角|八角北路 3室1厅 240万|八角北路| | 3室1厅 | 68.36平米 | 南 北 | 简装|高楼层(共6层)  1986年建板楼  -  |八角|240万|单价35109元/平米
石景山|八角|西引力，一号线地铁沿线，长安街南侧，满五年唯一|西引力| | 1室0厅 | 50.14平米 | 南 | 简装|高楼层(共16层)  2005年建板塔结合  -  |八角|225万|单价44875元/平米
石景山|八角|八角路小区 2室1厅 160万|八角路小区| | 2室1厅 | 32.82平米 | 南 北 | 其他|低楼层(共5层)  1971年建板楼  -  |八角|160万|单价48751元/平米
石景山|八角|八角中里 2室1厅 230万|八角中里| | 2室1厅 | 57.28平米 | 南 | 其他|中楼层(共6层)  1986年建板楼  -  |八角|230万|单价40154元/平米
石景山|八角|融景城 南北通透两居 三期位置 不临街 楼层适中|融景城| | 2室2厅 | 87平米 | 南 北 | 其他|低楼层(共26层)  2012年建板塔结合  -  |八角|465万|单价53449元/平米
石景山|八角|八角北路 2室1厅 185万|八角北路| | 2室1厅 | 57.18平米 | 东南 | 其他|高楼层(共6层)  1986年建板楼  -  |八角|185万|单价32354元/平米
石景山|八角|八角南路 2室1厅 150万|八角南路| | 2室1厅 | 53平米 | 南 | 简装|高楼层(共6层)  1960年建板楼  -  |八角|150万|单价28302元/平米
石景山|八角|八角中里 2室1厅 220万|八角中里| | 2室1厅 | 58.35平米 | 南 | 简装|中楼层(共6层)  1986年建板楼  -  |八角|220万|单价37704元/平米
石景山|八角|八角南里 南北通透 正规两室一厅|八角南里| | 2室1厅 | 62平米 | 南 北 | 简装|中楼层(共6层)  1995年建板楼  -  |八角|225万|单价36291元/平米
石景山|八角|西引力 朝北大开间 户型方正 楼龄新 带电梯|西引力| | 1室0厅 | 46.29平米 | 北 | 精装|高楼层(共18层)  2005年建板塔结合  -  |八角|190万|单价41046元/平米
石景山|八角|八角南路，南北通透，3居室，业主诚心出售|八角南路| | 3室1厅 | 124平米 | 南 北 | 其他|高楼层(共6层)  1990年建板楼  -  |八角|400万|单价32259元/平米
石景山|八角|西引力，一号线地铁沿线，南向开间|西引力| | 1室1厅 | 50.44平米 | 南 | 其他|低楼层(共16层)  2005年建板塔结合  -  |八角|220万|单价43617元/平米
石景山|八角|八角中里 2室1厅 182万|八角中里| | 2室1厅 | 59平米 | 南 北 | 简装|高楼层(共6层)  1986年建板楼  -  |八角|182万|单价30848元/平米
