丰台|北大地|七里庄 经典两居室 户型好 格局棒|七里庄路18号院| | 2室1厅 | 59.28平米 | 东 西 | 精装|高楼层(共6层)  1992年建板楼  -  |北大地|230万|单价38799元/平米
丰台|北大地|东安街头条2002年的房子  低楼层两居 业主诚心出售|东安街头条| | 2室1厅 | 67.8平米 | 东 西 | 简装|低楼层(共6层)  2002年建板楼  -  |北大地|310万|单价45723元/平米
丰台|北大地|永善里，大两居，楼龄新，正对花园位置！|永善里| | 2室1厅 | 104.74平米 | 东 | 简装|中楼层(共21层)  2005年建塔楼  -  |北大地|360万|单价34371元/平米
丰台|北大地|文体路乙11号院 丰台五小学区房 交通购物方便 房龄新|文体路乙11号院| | 1室1厅 | 62平米 | 南 | 其他|高楼层(共18层)  2001年建塔楼  -  |北大地|275万|单价44355元/平米
丰台|北大地|前泥洼经典两居.满五年唯一.总价低|前泥洼小区| | 2室1厅 | 61.17平米 | 南 北 | 其他|高楼层(共6层)  1993年建板楼  -  |北大地|249万|单价40707元/平米
丰台|北大地|花园式洋房 满五年不唯一 置换出售 没有抵押|前泥洼小区| | 2室2厅 | 107平米 | 南 北 | 简装|中楼层(共6层)    -  |北大地|500万|单价46729元/平米
丰台|北大地|正阳小区 3室1厅 380万|正阳小区| | 3室1厅 | 98.69平米 | 东北 | 简装|高楼层(共19层)  2001年建塔楼  -  |北大地|380万|单价38505元/平米
丰台|北大地|紧邻丰台区政府，北大街南里南北通透两居|北大街南里| | 2室1厅 | 54平米 | 北 南 | 精装|高楼层(共6层)  1983年建板楼  -  |北大地|240万|单价44445元/平米
丰台|北大地|正阳小区，五小本校学区，优质两居室，交通便利|正阳小区| | 2室1厅 | 90.78平米 | 东 | 简装|低楼层(共19层)  2000年建塔楼  -  |北大地|368万|单价40538元/平米
丰台|北大地|已购公房满五年，临近地铁10号线泥洼站|前泥洼小区| | 2室1厅 | 60.8平米 | 北 南 | 其他|低楼层(共6层)  1995年建板楼  -  |北大地|260万|单价42764元/平米
丰台|北大地|正阳小区 正规一居室 临近地铁 采光好 |正阳小区| | 1室1厅 | 51.32平米 | 西北 | 简装|高楼层(共22层)  2004年建塔楼  -  |北大地|260万|单价50663元/平米
丰台|北大地|北大地一里 2室1厅 205万|北大地一里| | 2室1厅 | 51平米 | 南 | 其他|低楼层(共6层)  1982年建板楼  -  |北大地|205万|单价40197元/平米
丰台|北京南站|南二环外翠林小区，满五年唯一房改房|翠林一里| | 2室1厅 | 65平米 | 西北 南 | 简装|低楼层(共18层)  1996年建塔楼  -  |北京南站|275万|单价42308元/平米
丰台|北京南站|北京南站，东南金角三居室带电梯，双卫，满五唯一|开阳里八区| | 3室1厅 | 124.13平米 | 东 南 | 精装|低楼层(共9层)  2003年建塔楼  -  |北京南站|600万|单价48337元/平米
丰台|北京南站|开阳里 塔楼电梯房 2居室 地铁房 格局好 急售|开阳里三区| | 2室1厅 | 72.16平米 | 南 西 | 其他|中楼层(共18层)  1999年建塔楼  -  |北京南站|370万|单价51275元/平米
丰台|北京南站|鼎立水岸家园 2008年商品房 免税房|鼎立水岸家园| | 2室1厅 | 87.05平米 | 西南 | 简装|低楼层(共21层)  2008年建板塔结合  -  |北京南站|535万|单价61459元/平米
丰台|北京南站|开阳里南向三居室，双地铁，中楼层视野好！|开阳里三区| | 3室1厅 | 106.55平米 | 南 西 | 简装|高楼层(共24层)  2002年建塔楼  -  |北京南站|530万|单价49742元/平米
丰台|北京南站|2008年商品房、精装朝南两居室、落地飘窗|鼎立水岸家园| | 2室2厅 | 97.65平米 | 南 | 精装|低楼层(共21层)  2008年建板塔结合  -  |北京南站|580万|单价59396元/平米
丰台|北京南站|北京南站  开阳里七区一层南北一居|开阳里七区| | 1室1厅 | 61.95平米 | 南 北 | 简装|低楼层(共6层)  2002年建板楼  -  |北京南站|329万|单价53108元/平米
丰台|北京南站|双地铁交汇处 免税 诚心出售 新翠林规划|翠林三里| | 2室1厅 | 66.85平米 | 东 西 | 简装|高楼层(共6层)  1997年建板楼  -  |北京南站|275万|单价41137元/平米
丰台|北京南站|南北通透户型2居室 楼层好  地铁房 诚心出售 看房便利|开阳里二区| | 2室1厅 | 71.97平米 | 南 北 | 简装|低楼层(共6层)  2000年建板楼  -  |北京南站|450万|单价62527元/平米
丰台|北京南站|世纪金色嘉园高层双朝南向 有车位 带地下储物间|世纪金色嘉园| | 2室1厅 | 131.48平米 | 南 | 精装|高楼层(共28层)  2002年建塔楼  -  |北京南站|720万|单价54762元/平米
丰台|北京南站|北京南站世纪金色嘉园东向精装双卫免税两居室|世纪金色嘉园| | 2室2厅 | 114平米 | 东 | 精装|低楼层(共28层)  2002年建塔楼  -  |北京南站|630万|单价55264元/平米
丰台|北京南站|二环边电梯板楼，精装免税两居室，紧邻双地铁|鼎立水岸家园| | 2室2厅 | 97.65平米 | 南 | 精装|低楼层(共21层)  2008年建板塔结合  -  |北京南站|600万|单价61444元/平米
丰台|北京南站|南二环 双南向 正规两居 户型方正 诚心出售|开阳里三区| | 2室1厅 | 80.5平米 | 东 南 | 简装|低楼层(共24层)  2002年建塔楼  -  |北京南站|420万|单价52174元/平米
丰台|北京南站|户型方正 得房率高 满五年唯一商品房|开阳里三区| | 2室2厅 | 91.5平米 | 东 | 精装|低楼层(共24层)  2002年建塔楼  -  |北京南站|450万|单价49181元/平米
丰台|北京南站|开阳里六区 高楼层三居室 前后无遮挡 小区安静绿化好|开阳里六区| | 3室1厅 | 102.01平米 | 西北 | 简装|高楼层(共18层)  2002年建塔楼  -  |北京南站|510万|单价49996元/平米
丰台|北京南站|紧靠南二环 独院独栋 电梯楼 大两居诚售|祥和苑| | 2室2厅 | 97平米 | 南 北 | 简装|中楼层(共14层)  1999年建板塔结合  -  |北京南站|496万|单价51135元/平米
丰台|北京南站|开阳里复式 棒视野 电梯直达 诚心出售 |开阳里六区| | 3室2厅 | 174平米 | 东 南 北 | 简装|高楼层(共24层)  2002年建塔楼  -  |北京南站|750万|单价43104元/平米
丰台|北京南站|北京南站 开阳里八区南北通透大复式满五唯一带露台|开阳里八区| | 3室2厅 | 151.99平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |北京南站|600万|单价39477元/平米
丰台|北京南站|翠林小区南二环边精装一居室朝南|翠林二里| | 1室1厅 | 43.12平米 | 南 | 简装|高楼层(共6层)  1996年建板楼  -  |北京南站|223万|单价51717元/平米
丰台|北京南站|精装修，业主自住，诚心出售，楼层高，视野好。|开阳里三区| | 2室1厅 | 95.21平米 | 西北 | 简装|高楼层(共25层)  2002年建塔楼  -  |北京南站|450万|单价47264元/平米
丰台|北京南站|开阳里七区 满五唯一 南北通透两居室 近地铁4号线|开阳里七区| | 2室1厅 | 74.9平米 | 南 北 | 精装|中楼层(共6层)  2002年建板楼  -  |北京南站|370万|单价49400元/平米
丰台|北京南站|右安门世纪金色嘉园东北向一居室低楼层 04年社区|世纪金色嘉园| | 1室1厅 | 65.98平米 | 东北 | 简装|低楼层(共30层)  2002年建塔楼  -  |北京南站|340万|单价51531元/平米
丰台|北京南站|南二环外 右外东庄 南北通透 黄金楼层 两居室|右外东庄| | 2室1厅 | 58.4平米 | 南 北 | 简装|中楼层(共6层)  1992年建板楼  -  |北京南站|290万|单价49658元/平米
丰台|北京南站|开阳里六区，中楼层大三居，诚心出售！|开阳里六区| | 3室1厅 | 148.07平米 | 西南 北 | 其他|中楼层(共24层)  2002年建塔楼  -  |北京南站|650万|单价43899元/平米
丰台|北京南站|世纪金色嘉园 诚意出售高层两居房源|世纪金色嘉园| | 2室2厅 | 131.48平米 | 南 | 简装|高楼层(共28层)  2002年建塔楼  -  |北京南站|720万|单价54762元/平米
丰台|北京南站|北京南站 开阳里复式 南北通透带露台 方便约看|开阳里八区| | 3室2厅 | 153.13平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |北京南站|630万|单价41142元/平米
丰台|北京南站|开阳里大复式 棒视野 电梯直达  诚心出售|开阳里六区| | 3室2厅 | 175平米 | 西 北 | 简装|高楼层(共24层)  2002年建塔楼  -  |北京南站|730万|单价41715元/平米
丰台|北京南站|右外东庄 一层带自建 朝南两居室 满五年唯一|右外东庄| | 2室1厅 | 47.45平米 | 南 | 毛坯|低楼层(共6层)  1992年建板楼  -  |北京南站|260万|单价54795元/平米
丰台|北京南站|2008年商品房 落地飘窗 采光好 南二环边|鼎立水岸家园| | 2室2厅 | 106.99平米 | 西 北 | 精装|低楼层(共21层)  2008年建板塔结合  -  |北京南站|575万|单价53744元/平米
丰台|北京南站|北京南站南北通透精装两居室  中间楼层 钥匙房源|开阳里东巷24号院| | 2室1厅 | 60.5平米 | 南 西 北 | 精装|中楼层(共6层)  1989年建板楼  -  |北京南站|286万|单价47273元/平米
