东城|安定门|两居朝南  采光好，视野开阔  没有遮挡，有钥匙|安外西河沿| | 2室1厅 | 55.59平米 | 南 | 简装|高楼层(共6层)  1983年建板楼  -  |安定门|398万|单价71596元/平米
东城|安定门|东城区安定门 朝南两居室 采光好 视野好|安外西河沿| | 2室1厅 | 59.92平米 | 南 | 简装|高楼层(共6层)  1983年建板楼  -  |安定门|430万|单价71763元/平米
东城|安定门|此房满五年唯一 通透三居 紧邻公园 出行方便|安外西河沿| | 3室1厅 | 72.71平米 | 东 西 | 其他|中楼层(共12层)  1983年建板塔结合  -  |安定门|550万|单价75643元/平米
东城|安定门|分司厅划片  安定门内 两居室 总价低 诚意出售|灵光胡同甲28号院| | 2室1厅 | 55.77平米 | 东北 | 简装|中楼层(共6层)  1981年建板楼  -  |安定门|390万|单价69931元/平米
东城|安定门|黄寺大街2号院 南北向 无税 临地铁公园|黄寺大街2号院| | 2室1厅 | 58平米 | 南 北 | 简装|低楼层(共6层)  1990年建板楼  -  |安定门|450万|单价77587元/平米
东城|安定门|安定门 安德路55号院 鼓楼大街地铁 南北通透|安德路55号院| | 2室1厅 | 64.34平米 | 南 北 | 其他|中楼层(共4层)  1977年建板楼  -  |安定门|405万|单价62947元/平米
东城|安定门|华府景园216平米复式大四居180°观景自建80平米大露台|华府景园| | 4室2厅 | 216平米 | 东 西 | 精装|高楼层(共12层)  2001年建板塔结合  -  |安定门|1780万|单价82408元/平米
东城|安定门|安德路47号院 满五年公房 直升171中学 紧邻公园|安德路47号院| | 1室1厅 | 46.07平米 | 南 北 | 精装|高楼层(共6层)  1994年建板楼  -  |安定门|335万|单价72716元/平米
东城|安定门|临近地铁 交通便利 精装公寓一居|中景濠庭| | 1室1厅 | 74.21平米 | 北 | 精装|中楼层(共22层)  2001年建塔楼  -  |安定门|575万|单价77483元/平米
东城|安定门|青年湖东里 南向一居室 有钥匙 临近公园|青年湖东里| | 1室1厅 | 46.34平米 | 南 | 其他|高楼层(共18层)  1988年建塔楼  -  |安定门|335万|单价72292元/平米
东城|安定门|安外东河沿 和平里四小学区 临近地铁雍和宫 精装两居|安外东河沿| | 2室1厅 | 58.12平米 | 南 北 | 精装|中楼层(共6层)  1980年建板楼  -  |安定门|505万|单价86890元/平米
东城|安定门|南北通透三居室  紧邻护城河畔  重点学区！|安外东河沿| | 3室1厅 | 85.13平米 | 南 北 | 简装|高楼层(共12层)  1990年建板塔结合  -  |安定门|724万|单价85047元/平米
东城|安定门|房子满五年唯一 正规三居 带明厅，电梯房紧邻地铁。|上龙西里| | 3室1厅 | 80.37平米 | 西南 | 简装|低楼层(共18层)  1993年建塔楼  -  |安定门|635万|单价79010元/平米
东城|安定门|东城  安定门  低楼层   单间|安德路47号院| | 1室0厅 | 19.08平米 | 东 西 | 简装|低楼层(共6层)  1980年建板楼  -  |安定门|172万|单价90147元/平米
东城|安定门|南北通透三居室  满五年公房 看房方便 诚心出售|地兴居| | 3室1厅 | 77.81平米 | 南 北 | 简装|地下室(共6层)  1997年建板楼  -  |安定门|340万|单价43697元/平米
东城|安定门|冶金大院独立管理 黄金楼层无遮挡|安德路55号院| | 2室1厅 | 56.69平米 | 东 南 西 | 简装|低楼层(共3层)  1958年建板楼  -  |安定门|380万|单价67032元/平米
东城|安定门|北二环雍和宫站南北通透三居室和平里四小的学区房|安外东河沿| | 3室1厅 | 95.46平米 | 南 北 | 精装|中楼层(共7层)  1993年建板楼  -  |安定门|790万|单价82758元/平米
东城|安定门|朝南一居室 满五年唯一 东城学区 紧邻地铁公园|安德路47号院| | 1室1厅 | 43.67平米 | 南 | 简装|中楼层(共6层)  1994年建板楼  -  |安定门|335万|单价76712元/平米
东城|安定门|西南朝向无遮挡，高楼层视野好，东城户口直升171|西营房| | 2室1厅 | 89.26平米 | 西 南 | 其他|中楼层(共19层)  2006年建塔楼  -  |安定门|680万|单价76182元/平米
东城|安定门|北2环边上  安定门地铁站  正规两居室  |青年湖北里| | 2室1厅 | 61平米 | 东 西 | 其他|高楼层(共6层)  1988年建板楼  -  |安定门|432万|单价70820元/平米
东城|安定门|南北通透 黄金楼层 安外三条小学学区 业主诚心出售|安德路47号院| | 2室1厅 | 60平米 | 南 北 | 精装|中楼层(共6层)  1990年建板楼  -  |安定门|450万|单价75000元/平米
东城|安定门|北京十大豪宅之一 电梯入户 高端大气上档次|中轴国际| | 4室2厅 | 452.8平米 | 东 南 北 | 精装|高楼层(共21层)  2005年建板楼  -  |安定门|2670万|单价58967元/平米
东城|安定门|商品房 6层板楼带电梯 户型方正 可以改成正规的三居 |安馨园| | 2室2厅 | 141.02平米 | 南 北 | 其他|低楼层(共6层)  2003年建板楼  -  |安定门|1300万|单价92186元/平米
东城|安定门|青年湖北里 南北通透三居室 随时看 随时签|青年湖北里| | 3室1厅 | 97.71平米 | 南 北 | 简装|高楼层(共10层)  1996年建板塔结合  -  |安定门|698万|单价71436元/平米
东城|安定门|安定门经典两居 楼层好 环境优美 临公园和地铁 管理好|安德路47号院| | 2室1厅 | 58.52平米 | 东 西 | 其他|低楼层(共6层)  1995年建板楼  -  |安定门|440万|单价75188元/平米
东城|安定门|北二环 安定门 东城学区 带客厅三居 临公园|上龙西里| | 3室1厅 | 91.43平米 | 东北 | 毛坯|低楼层(共11层)  2012年建板塔结合  -  |安定门|680万|单价74374元/平米
东城|安定门|封闭管理，环境优雅，南北通透，分司厅学区|安馨园| | 6室2厅 | 311.87平米 | 南 北 | 其他|高楼层(共6层)  2003年建板楼  -  |安定门|2050万|单价65733元/平米
东城|安定门|湖景苑，东西三居室，低层采光无遮挡|湖景苑| | 3室1厅 | 156.75平米 | 东 西 | 简装|低楼层(共8层)  1999年建板塔结合  -  |安定门|1100万|单价70176元/平米
东城|安定门|临近地铁 南北通透 黄金楼层 业主诚心出售|安德路47号院| | 2室1厅 | 56.88平米 | 南 北 | 简装|低楼层(共6层)  1986年建板楼  -  |安定门|450万|单价79114元/平米
东城|安定门|南北通透 中间楼层 满五年住房 紧邻地铁公园|安德路47号院| | 2室1厅 | 58.44平米 | 南 北 | 简装|中楼层(共6层)  1990年建板楼  -  |安定门|430万|单价73580元/平米
东城|安定门|南北通透两居室   满五年唯一住房  楼层低|安德路47号院| | 2室1厅 | 52.12平米 | 南 北 | 毛坯|低楼层(共6层)  1979年建板楼  -  |安定门|430万|单价82502元/平米
东城|安定门|东城区房本 精装修可改两室大客厅 紧邻地铁公园|安外大街3号院| | 3室1厅 | 71.67平米 | 南 西南 | 其他|高楼层(共6层)  1988年建板楼  -  |安定门|499万|单价69625元/平米
东城|安定门|北二环外 中化集团央产大三居 小区管理好|上龙西里| | 3室2厅 | 185.6平米 | 西南 | 精装|中楼层(共18层)  1995年建塔楼  -  |安定门|1312万|单价70690元/平米
东城|安定门|和平里中街 2室1厅 510万|和平里中街| | 2室1厅 | 60.37平米 | 南 北 | 毛坯|高楼层(共5层)  1970年建板楼  -  |安定门|510万|单价84480元/平米
东城|安定门|方家小学划片 官书院精装复式 东西通透无遮挡 邻地铁|官书院| | 3室2厅 | 147.36平米 | 东 西 | 精装|高楼层(共6层)  2002年建板楼  -  |安定门|1150万|单价78041元/平米
东城|安定门|安外大街正规三居，临近公园地铁|安外大街80号院| | 3室1厅 | 70.13平米 | 东 西 | 精装|高楼层(共6层)  1990年建板楼  -  |安定门|510万|单价72723元/平米
东城|安定门|东城一一一安德路一一一复式一一一一一2居3卫|京宝花园| | 2室2厅 | 162.24平米 | 东 西 | 精装|低楼层(共12层)  1994年建板楼  -  |安定门|780万|单价48077元/平米
东城|安定门|安德路55号院 南北通透2居室 紧邻鼓楼地铁2号线|安德路55号院| | 2室1厅 | 64.34平米 | 南 北 | 简装|中楼层(共4层)  1977年建板楼  -  |安定门|430万|单价66833元/平米
东城|安定门|凯景铭座 高档公寓楼 观景三居室 直观柳荫公园全景|凯景铭座| | 3室2厅 | 156.2平米 | 西 北 | 简装|高楼层(共19层)  2001年建塔楼  -  |安定门|900万|单价57619元/平米
东城|安定门|安德路47号院 精装三居 黄金楼层 满五年冶金部|安德路47号院| | 3室1厅 | 56.5平米 | 东 西 | 简装|中楼层(共6层)  1980年建板楼  -  |安定门|430万|单价76107元/平米
东城|安定门|安定门内 安馨园南北向两居室 邻近地铁|安馨园| | 2室2厅 | 140.5平米 | 南 北 | 精装|中楼层(共6层)  2003年建板楼  -  |安定门|1300万|单价92527元/平米
东城|安定门|安定门  总价低  中间楼层  视野好 无遮挡|西营房| | 1室0厅 | 36.31平米 | 北 | 简装|中楼层(共17层)  2006年建塔楼  -  |安定门|280万|单价77114元/平米
东城|安定门|正规一居，坐北朝南，学区房，地铁房，临近公园。|青年湖东里| | 1室1厅 | 40.13平米 | 南 | 精装|中楼层(共6层)  1990年建板楼  -  |安定门|325万|单价80987元/平米
东城|安定门|青年湖小学 单价低 直对青年湖公园 视野好|湖景苑| | 5室3厅 | 226.26平米 | 东 西 | 简装|高楼层(共8层)  1999年建板塔结合  -  |安定门|1700万|单价75135元/平米
东城|安定门|凯景铭座 精装修 观景三居室 业主诚心出售|凯景铭座| | 3室2厅 | 156.2平米 | 西北 | 精装|中楼层(共19层)  2001年建塔楼  -  |安定门|960万|单价61460元/平米
东城|安定门|观景 靠近地铁 复式房 可改动空间大|京宝花园| | 2室1厅 | 162.24平米 | 东 西 | 简装|中楼层(共12层)  1994年建板楼  -  |安定门|790万|单价48694元/平米
东城|安定门|北二环朝南大两居 一层带小院 户型方正|巷上嘉园| | 2室1厅 | 119.87平米 | 南 | 精装|低楼层(共24层)  2005年建板塔结合  -  |安定门|900万|单价75082元/平米
东城|安定门|方家学区房 满五不唯一 高层复式 诚心出售 精装修|官书院| | 4室2厅 | 177.83平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |安定门|1500万|单价84351元/平米
东城|安定门|东城区朝南一居 装修好 邻公园和地铁 采光好|安德路47号院| | 1室1厅 | 41.7平米 | 南 | 精装|低楼层(共6层)  1990年建板楼  -  |安定门|340万|单价81535元/平米
东城|安定门|分司厅小学划片 西南向两居室 带电梯 |车辇店胡同| | 2室1厅 | 71.4平米 | 西南 | 简装|中楼层(共11层)  2001年建板楼  -  |安定门|620万|单价86835元/平米
东城|安定门|安定门内 方家小学划片 南北2居室出售|永康胡同18号院| | 2室1厅 | 64.69平米 | 南 北 | 其他|高楼层(共6层)  1984年建板楼  -  |安定门|628万|单价97079元/平米
东城|安定门|安德路47号院 单独小院管理 北边就是青年湖公园|安德路47号院| | 3室1厅 | 73.18平米 | 南 北 | 精装|低楼层(共6层)  1986年建板楼  -  |安定门|542万|单价74064元/平米
东城|安定门|安定门，2012年新楼，大一居可改两居室，电梯中楼层|上龙西里| | 1室1厅 | 68.03平米 | 西 | 精装|中楼层(共11层)  2012年建板塔结合  -  |安定门|445万|单价65413元/平米
东城|安定门|龙脉 中轴国际 四居鸟瞰 二环君临天下|中轴国际| | 4室2厅 | 530平米 | 西 南 北 | 其他|低楼层(共21层)  2005年建板楼  -  |安定门|4500万|单价84906元/平米
东城|安定门|低楼层适合居住 全南户型 采光好  分司厅学区划片|中绦胡同甲2号院| | 2室1厅 | 54.44平米 | 南 | 简装|低楼层(共6层)  1985年建板楼  -  |安定门|435万|单价79905元/平米
东城|安定门|上龙西里2012年社区，精装两居，中层带电梯，邻地铁|上龙西里| | 2室1厅 | 84.3平米 | 西 | 精装|中楼层(共11层)  2012年建板塔结合  -  |安定门|658万|单价78055元/平米
东城|安定门|东城区房本，临近公园、地铁，南北两居|黄寺大街2号院| | 2室1厅 | 58.38平米 | 南 北 | 简装|高楼层(共6层)  1990年建板楼  -  |安定门|405万|单价69374元/平米
东城|安定门|本房无遮挡，满五年电梯直达 楼下就是地铁2号线安定门|安外西河沿| | 3室1厅 | 72.71平米 | 东 西 | 其他|中楼层(共12层)  1983年建板塔结合  -  |安定门|580万|单价79769元/平米
东城|安定门|朝东两居室 满五年唯一 临近地铁公园|地兴居| | 2室1厅 | 55.52平米 | 东 西 | 其他|高楼层(共6层)  1988年建板楼  -  |安定门|420万|单价75649元/平米
东城|安定门|湖景苑 东西四居室 临公园 四世同堂|湖景苑| | 4室2厅 | 182平米 | 东 西 | 简装|中楼层(共8层)  1999年建板塔结合  -  |安定门|1500万|单价82418元/平米
东城|安定门|安定门  临近公园  地铁2号线  70年公寓|京宝花园| | 1室1厅 | 117.2平米 | 东 | 简装|高楼层(共12层)  1994年建板楼  -  |安定门|600万|单价51195元/平米
东城|安定门|北二环外，南向 低楼层1居 闹中取静 精装修|青年湖东里| | 1室1厅 | 40.94平米 | 南 | 精装|低楼层(共6层)  1986年建板楼  -  |安定门|330万|单价80606元/平米
东城|安定门|安定门 方家小学划片 直升五中|永康胡同18号院| | 3室1厅 | 60平米 | 东 西 | 简装|高楼层(共6层)  1985年建板楼  -  |安定门|600万|单价100000元/平米
东城|安定门|鼓楼青年湖之间，冶金部大院，现在不拆迁了，三居室|安德路55号院| | 3室0厅 | 88.69平米 | 南 北 | 毛坯|低楼层(共4层)  1977年建板楼  -  |安定门|540万|单价60887元/平米
东城|安定门|青年湖东里 一层一户 南北大户型 带地下室 优质房源|青年湖东里| | 3室2厅 | 147平米 | 南 北 | 简装|中楼层(共6层)  1994年建板楼  -  |安定门|1230万|单价83674元/平米
东城|安定门|东城区经典三居 楼层好 装修好 临公园和地铁 管理好|安德路47号院| | 3室1厅 | 69平米 | 东 西 | 精装|中楼层(共6层)  1995年建板楼  -  |安定门|542万|单价78551元/平米
东城|安定门|安德路55号院 东西通透3居室 紧邻青年湖公园|安德路55号院| | 3室1厅 | 70.21平米 | 东 西 | 简装|高楼层(共6层)  1985年建板楼  -  |安定门|495万|单价70503元/平米
东城|安定门|分司厅学区划片，花园低价两居，随时落户，学区未占用|花园胡同8号院| | 2室1厅 | 53.5平米 | 东 西 | 简装|中楼层(共5层)  1986年建板楼  -  |安定门|450万|单价84113元/平米
