西城|白纸坊|荣宁园 二环内 花园式小区 适合改善客户|荣宁园| | 2室1厅 | 119.5平米 | 西南 | 精装|中楼层(共14层)  2002年建塔楼  -  |白纸坊|799万|单价66862元/平米
西城|白纸坊|荣宁园集中供暖、车位充足、满五年唯一|荣宁园| | 2室1厅 | 119.54平米 | 东南 | 其他|高楼层(共14层)  2002年建塔楼  -  |白纸坊|780万|单价65251元/平米
西城|白纸坊|荣宁园满五年唯一两居！人车分流！小区独立管理|荣宁园| | 2室1厅 | 119.54平米 | 东南 | 其他|高楼层(共14层)  2002年建塔楼  -  |白纸坊|780万|单价65251元/平米
西城|白纸坊|交通方便，双卫生间，电梯直达。|中加大厦| | 3室2厅 | 161.66平米 | 东 西 | 精装|高楼层(共23层)  1999年建塔楼  -  |白纸坊|837万|单价51776元/平米
西城|白纸坊|建功南里 3室1厅 551万|建功南里| | 3室1厅 | 89.73平米 | 东南 | 简装|中楼层(共16层)  1996年建塔楼  -  |白纸坊|551万|单价61407元/平米
西城|白纸坊|中华家园 南北通透大平层 两梯两户 集中供暖|中华家园| | 3室2厅 | 285平米 | 南 | 精装|高楼层(共12层)  2002年建板塔结合  -  |白纸坊|2000万|单价70176元/平米
西城|白纸坊|天缘公寓 大三居 紧邻西二环 70年大产权 |天缘公寓| | 3室2厅 | 183.99平米 | 东 西 北 | 简装|中楼层(共28层)  1999年建塔楼  -  |白纸坊|736万|单价40003元/平米
西城|白纸坊|西城区二环内建功北里板楼双南向一居|建功北里| | 1室1厅 | 48.67平米 | 南 | 其他|高楼层(共6层)  1996年建板楼  -  |白纸坊|340万|单价69859元/平米
西城|白纸坊|建功北里 两居 南北通透 年轻人过渡|建功北里| | 2室1厅 | 64平米 | 南 北 | 其他|中楼层(共6层)  1996年建板楼  -  |白纸坊|430万|单价67188元/平米
西城|白纸坊|西城区 二环内 建功南里东南两居！全明格局|建功南里| | 2室1厅 | 76平米 | 东南 | 简装|中楼层(共18层)  1996年建塔楼  -  |白纸坊|500万|单价65790元/平米
西城|白纸坊|白纸坊周边，南北通透，半地下，看房方便|樱桃头条| | 2室1厅 | 68.08平米 | 南 北 | 简装|地下室(共7层)  1996年建板楼  -  |白纸坊|280万|单价41129元/平米
